1	3|3|4|3|4	1|1|1|1|1
2	3|3|4|3|10	1|1|1|1|1
3	4|4|10|3|4	1|1|1|1|1
4	4|4|10|4|4	1|1|1|1|1
5	3|4|10|3|10	1|1|1|1|1
6	4|4|11|4|35	1|1|1|1|1
7	4|4|11|4|11	1|1|1|1|1
8	5|5|11|4|17	1|1|1|1|1
9	4|5|11|4|11	1|1|1|1|1
10	5|5|11|4|5	1|1|1|1|1
11	10|11|16|11|5	1|1|1|1|1
12	11|10|16|10|29	1|1|1|1|1
13	11|11|16|11|5	1|1|1|1|1
14	11|11|17|11|35	1|1|1|1|1
15	11|11|16|11|5	1|1|1|1|1
16	11|11|17|11|5	1|1|1|1|1
17	11|11|17|12|29	1|1|1|1|1
18	12|12|17|12|17	1|1|1|1|1
19	12|12|18|12|29	1|1|1|1|1
20	12|12|18|12|5	1|1|1|1|1
21	17|18|23|17|17	1|1|1|1|1
22	17|16|24|17|17	1|1|1|1|1
23	17|16|22|17|5	1|1|1|1|1
24	18|17|24|17|5	1|1|1|1|1
25	16|17|24|16|5	1|1|1|1|1
26	18|17|22|16|23	1|1|1|1|1
27	16|17|24|18|17	1|1|1|1|1
28	17|16|22|17|23	1|1|1|1|1
29	17|17|22|17|17	1|1|1|1|1
30	16|18|23|17|5	1|1|1|1|1
31	24|22|30|24|35	1|1|1|1|1
32	24|24|28|22|11	1|1|1|1|1
33	22|24|28|22|17	1|1|1|1|1
34	23|24|30|22|23	1|1|1|1|1
35	24|22|30|24|29	1|1|1|1|1
36	23|22|30|22|5	1|1|1|1|1
37	22|23|30|23|29	1|1|1|1|1
38	22|22|28|23|5	1|1|1|1|1
39	22|22|29|24|35	1|1|1|1|1
40	23|22|28|24|17	1|1|1|1|1
41	30|28|36|30|29	1|1|1|1|1
42	29|30|36|28|11	1|1|1|1|1
43	30|30|34|29|29	1|1|1|1|1
44	30|30|35|30|23	1|1|1|1|1
45	29|28|36|29|11	1|1|1|1|1
46	28|28|34|28|23	1|1|1|1|1
47	29|29|34|29|5	1|1|1|1|1
48	29|29|36|29|5	1|1|1|1|1
49	30|29|34|30|17	1|1|1|1|1
50	28|30|35|29|18	1|1|1|1|1
51	35|34|5|35|24	1|1|1|1|1
52	35|34|5|34|12	1|1|1|1|1
53	36|35|6|34|30	1|1|1|1|1
54	35|36|5|35|6	1|1|1|1|1
55	36|36|6|35|18	1|1|1|1|1
56	35|35|4|34|36	1|1|1|1|1
57	34|34|4|34|12	1|1|1|1|1
58	35|34|5|35|30	1|1|1|1|1
59	35|34|4|36|12	1|1|1|1|1
60	34|36|4|34|30	1|1|1|1|1
61	6|6|11|6|30	1|1|1|1|1
62	5|6|12|5|18	1|1|1|1|1
63	5|6|11|6|36	1|1|1|1|1
64	6|5|11|5|24	1|1|1|1|1
65	5|6|11|5|24	1|1|1|1|1
66	5|5|12|6|24	1|1|1|1|1
67	5|5|12|6|18	1|1|1|1|1
68	6|6|11|6|30	1|1|1|1|1
69	5|6|12|6|24	1|1|1|1|1
70	5|5|11|5|6	1|1|1|1|1
71	11|11|18|11|24	1|1|1|1|1
72	11|12|17|12|24	1|1|1|1|1
73	12|11|17|11|6	1|1|1|1|1
74	11|12|18|12|36	1|1|1|1|1
75	12|12|18|12|6	1|1|1|1|1
76	12|11|18|12|30	1|1|1|1|1
77	12|12|18|11|6	1|1|1|1|1
78	12|12|18|12|24	1|1|1|1|1
79	11|11|18|11|18	1|1|1|1|1
80	11|11|17|11|36	1|1|1|1|1
81	17|17|24|18|30	1|1|1|1|1
82	17|17|23|18|24	1|1|1|1|1
83	18|17|23|17|30	1|1|1|1|1
84	17|18|23|18|12	1|1|1|1|1
85	17|18|24|18|30	1|1|1|1|1
86	17|18|23|17|24	1|1|1|1|1
87	17|17|24|17|30	1|1|1|1|1
88	17|18|23|17|36	1|1|1|1|1
89	18|17|24|17|30	1|1|1|1|1
90	18|17|24|18|36	1|1|1|1|1
91	24|24|29|24|24	1|1|1|1|1
92	23|24|29|24|6	1|1|1|1|1
93	24|23|29|23|24	1|1|1|1|1
94	23|23|29|23|30	1|1|1|1|1
95	23|23|29|24|30	1|1|1|1|1
96	23|23|29|24|30	1|1|1|1|1
97	23|24|29|23|12	1|1|1|1|1
98	23|24|29|24|12	1|1|1|1|1
99	23|24|29|24|6	1|1|1|1|1
100	23|23|29|23|30	1|1|1|1|1
101	30|30|35|30|24	1|1|1|1|1
102	29|29|36|29|12	1|1|1|1|1
103	29|30|35|30|24	1|1|1|1|1
104	30|30|36|29|36	1|1|1|1|1
105	29|29|36|29|24	1|1|1|1|1
106	30|29|36|30|24	1|1|1|1|1
107	30|30|35|29|6	1|1|1|1|1
108	30|29|35|29|24	1|1|1|1|1
109	30|30|35|30|30	1|1|1|1|1
110	30|30|35|30|18	1|1|1|1|1
111	36|35|5|36|24	1|1|1|1|1
112	35|35|6|36|6	1|1|1|1|1
113	36|35|5|35|18	1|1|1|1|1
114	35|35|6|36|6	1|1|1|1|1
115	35|36|5|35|6	1|1|1|1|1
116	35|35|5|35|30	1|1|1|1|1
117	35|35|5|36|12	1|1|1|1|1
118	35|35|6|36|24	1|1|1|1|1
119	35|35|5|36|24	1|1|1|1|1
120	36|35|5|36|24	1|1|1|1|1
121	5|5|11|5|18	1|1|1|1|1
122	6|5|11|6|36	1|1|1|1|1
123	6|5|12|5|18	1|1|1|1|1
124	6|6|12|6|6	1|1|1|1|1
125	5|5|11|6|36	1|1|1|1|1
126	6|6|11|6|12	1|1|1|1|1
127	6|6|12|6|24	1|1|1|1|1
128	6|6|12|6|6	1|1|1|1|1
129	5|5|12|6|18	1|1|1|1|1
130	5|6|11|5|6	1|1|1|1|1
131	11|11|18|12|36	1|1|1|1|1
132	12|12|17|12|24	1|1|1|1|1
133	12|11|18|12|30	1|1|1|1|1
134	12|11|18|11|6	1|1|1|1|1
135	11|11|17|11|36	1|1|1|1|1
136	12|12|18|11|36	1|1|1|1|1
137	11|11|18|12|30	1|1|1|1|1
138	11|12|17|12|18	1|1|1|1|1
139	12|11|17|12|18	1|1|1|1|1
140	12|11|18|12|30	1|1|1|1|1
141	17|17|24|17|12	1|1|1|1|1
142	17|18|23|18|36	1|1|1|1|1
143	17|18|24|17|6	1|1|1|1|1
144	18|18|24|18|36	1|1|1|1|1
145	17|18|24|17|30	1|1|1|1|1
146	17|17|23|18|18	1|1|1|1|1
147	17|18|23|17|18	1|1|1|1|1
148	17|17|24|17|24	1|1|1|1|1
149	17|18|23|18|36	1|1|1|1|1
150	18|17|24|18|30	1|1|1|1|1
151	24|24|29|24|24	1|1|1|1|1
152	23|23|29|24|18	1|1|1|1|1
153	23|24|29|24|6	1|1|1|1|1
154	24|24|30|23|18	1|1|1|1|1
155	24|23|30|24|24	1|1|1|1|1
156	23|24|29|23|30	1|1|1|1|1
157	24|23|29|24|30	1|1|1|1|1
158	23|23|29|24|36	1|1|1|1|1
159	23|24|30|24|30	1|1|1|1|1
160	23|23|29|23|6	1|1|1|1|1
161	29|29|36|29|18	1|1|1|1|1
162	29|29|36|30|12	1|1|1|1|1
163	30|29|36|29|18	1|1|1|1|1
164	30|29|36|30|6	1|1|1|1|1
165	29|30|36|30|24	1|1|1|1|1
166	30|30|35|30|12	1|1|1|1|1
167	29|29|36|29|6	1|1|1|1|1
168	30|30|35|30|12	1|1|1|1|1
169	29|30|35|30|30	1|1|1|1|1
170	30|29|35|30|30	1|1|1|1|1
