1	2	通关第1关	1	1	0	15
2	3	通关第2关	1	2	0	15
3	4	领取签到奖励	2	1	0	15
4	5	通关第3关	1	3	0	15
5	6	通关第4关	1	4	0	15
6	7	升级属性1次	3	1	0	15
7	8	通关第5关	1	5	0	15
8	9	通关第6关	1	6	0	15
9	10	观看广告1次	4	1	0	15
10	11	通关第7关	1	7	0	15
11	12	通关第8关	1	8	0	15
12	13	升级属性1次	2	1	0	15
13	14	通关第9关	1	9	0	15
14	15	通关第10关	1	10	0	15
15	16	通关第11关	1	11	0	15
16	17	通关第12关	1	12	0	15
17	18	通关第13关	1	13	0	15
18	19	升级属性1次	2	1	0	15
19	20	通关第14关	1	14	0	15
20	21	通关第15关	1	15	0	15
21	22	通关第16关	1	16	0	15
22	23	通关第17关	1	17	0	15
23	24	通关第18关	1	18	0	15
24	25	观看广告1次	4	1	0	15
25	26	通关第19关	1	19	0	15
26	27	通关第20关	1	20	0	15
27	28	通关第21关	1	21	0	15
28	29	通关第22关	1	22	0	15
29	30	通关第23关	1	23	0	15
30	31	通关第24关	1	24	0	15
31	32	通关第25关	1	25	0	15
32	33	升级属性1次	2	1	0	15
33	34	通关第26关	1	26	0	15
34	35	通关第27关	1	27	0	15
35	36	通关第28关	1	28	0	15
36	37	通关第29关	1	29	0	15
37	38	通关第30关	1	30	0	15
38	39	通关第31关	1	31	0	15
39	40	通关第32关	1	32	0	15
40	41	通关第33关	1	33	0	15
41	42	通关第34关	1	34	0	15
42	43	通关第35关	1	35	0	15
43	44	升级属性1次	2	1	0	15
44	45	通关第36关	1	36	0	15
45	46	通关第37关	1	37	0	15
46	47	通关第38关	1	38	0	15
47	48	通关第39关	1	39	0	15
48	49	通关第40关	1	40	0	15
49	50	通关第41关	1	41	0	15
50	51	通关第42关	1	42	0	15
51	52	通关第43关	1	43	0	15
52	53	通关第44关	1	44	0	15
53	54	通关第45关	1	45	0	15
54	55	观看广告1次	4	1	0	15
55	56	通关第46关	1	46	0	15
56	57	通关第47关	1	47	0	15
57	58	通关第48关	1	48	0	15
58	59	通关第49关	1	49	0	15
59	60	通关第50关	1	50	0	15
60	61	通关第51关	1	51	0	15
61	62	通关第52关	1	52	0	15
62	63	通关第53关	1	53	0	15
63	64	通关第54关	1	54	0	15
64	65	通关第55关	1	55	0	15
65	66	升级属性1次	2	1	0	15
66	67	通关第56关	1	56	0	15
67	68	通关第57关	1	57	0	15
68	69	通关第58关	1	58	0	15
69	70	通关第59关	1	59	0	15
70	71	通关第60关	1	60	0	15
71	72	通关第61关	1	61	0	15
72	73	通关第62关	1	62	0	15
73	74	通关第63关	1	63	0	15
74	75	通关第64关	1	64	0	15
75	76	通关第65关	1	65	0	15
76	77	升级属性1次	2	1	0	15
77	78	通关第66关	1	66	0	15
78	79	通关第67关	1	67	0	15
79	80	通关第68关	1	68	0	15
80	81	通关第69关	1	69	0	15
81	82	通关第70关	1	70	0	15
82	83	通关第71关	1	71	0	15
83	84	通关第72关	1	72	0	15
84	85	通关第73关	1	73	0	15
85	86	通关第74关	1	74	0	15
86	87	通关第75关	1	75	0	15
87	88	升级属性1次	2	1	0	15
88	89	通关第76关	1	76	0	15
89	90	通关第77关	1	77	0	15
90	91	通关第78关	1	78	0	15
91	92	通关第79关	1	79	0	15
92	93	通关第80关	1	80	0	15
93	94	通关第81关	1	81	0	15
94	95	通关第82关	1	82	0	15
95	96	通关第83关	1	83	0	15
96	97	通关第84关	1	84	0	15
97	98	通关第85关	1	85	0	15
98	99	观看广告1次	4	1	0	15
99	100	通关第86关	1	86	0	15
100	101	通关第87关	1	87	0	15
101	102	通关第88关	1	88	0	15
102	103	通关第89关	1	89	0	15
103	104	通关第90关	1	90	0	15
104	105	通关第91关	1	91	0	15
105	106	通关第92关	1	92	0	15
106	107	通关第93关	1	93	0	15
107	108	通关第94关	1	94	0	15
108	109	通关第95关	1	95	0	15
109	110	升级属性1次	2	1	0	15
110	111	通关第96关	1	96	0	15
111	112	通关第97关	1	97	0	15
112	113	通关第98关	1	98	0	15
113	114	通关第99关	1	99	0	15
114	115	通关第100关	1	100	0	15
115	116	通关第101关	1	101	0	15
116	117	通关第102关	1	102	0	15
117	118	通关第103关	1	103	0	15
118	119	通关第104关	1	104	0	15
119	120	通关第105关	1	105	0	15
120	121	升级属性1次	2	1	0	15
121	122	通关第106关	1	106	0	15
122	123	通关第107关	1	107	0	15
123	124	通关第108关	1	108	0	15
124	125	通关第109关	1	109	0	15
125	126	通关第110关	1	110	0	15
126	127	通关第111关	1	111	0	15
127	128	通关第112关	1	112	0	15
128	129	通关第113关	1	113	0	15
129	130	通关第114关	1	114	0	15
130	131	通关第115关	1	115	0	15
131	132	升级属性1次	2	1	0	15
132	133	通关第116关	1	116	0	15
133	134	通关第117关	1	117	0	15
134	135	通关第118关	1	118	0	15
135	136	通关第119关	1	119	0	15
136	137	通关第120关	1	120	0	15
137	138	通关第121关	1	121	0	15
138	139	通关第122关	1	122	0	15
139	140	通关第123关	1	123	0	15
140	141	通关第124关	1	124	0	15
141	142	通关第125关	1	125	0	15
142	143	升级属性1次	2	1	0	15
143	144	通关第126关	1	126	0	15
144	145	通关第127关	1	127	0	15
145	146	通关第128关	1	128	0	15
146	147	通关第129关	1	129	0	15
147	148	通关第130关	1	130	0	15
148	149	通关第131关	1	131	0	15
149	150	通关第132关	1	132	0	15
150	151	通关第133关	1	133	0	15
151	152	通关第134关	1	134	0	15
152	153	通关第135关	1	135	0	15
153	154	升级属性1次	2	1	0	15
154	155	通关第136关	1	136	0	15
155	156	通关第137关	1	137	0	15
156	157	通关第138关	1	138	0	15
157	158	通关第139关	1	139	0	15
158	159	通关第140关	1	140	0	15
159	160	通关第141关	1	141	0	15
160	161	通关第142关	1	142	0	15
161	162	通关第143关	1	143	0	15
162	163	通关第144关	1	144	0	15
163	164	通关第145关	1	145	0	15
164	165	升级属性1次	2	1	0	15
165	166	通关第146关	1	146	0	15
166	167	通关第147关	1	147	0	15
167	168	通关第148关	1	148	0	15
168	169	通关第149关	1	149	0	15
169	170	通关第150关	1	150	0	15
170	171	通关第151关	1	151	0	15
171	172	通关第152关	1	152	0	15
172	173	通关第153关	1	153	0	15
173	174	通关第154关	1	154	0	15
174	175	通关第155关	1	155	0	15
175	176	升级属性1次	2	1	0	15
176	177	通关第156关	1	156	0	15
177	178	通关第157关	1	157	0	15
178	179	通关第158关	1	158	0	15
179	180	通关第159关	1	159	0	15
180	181	通关第160关	1	160	0	15
181	182	通关第161关	1	161	0	15
182	183	通关第162关	1	162	0	15
183	184	通关第163关	1	163	0	15
184	185	通关第164关	1	164	0	15
185	186	通关第165关	1	165	0	15
186	187	升级属性1次	2	1	0	15
187	188	通关第166关	1	166	0	15
188	189	通关第167关	1	167	0	15
189	190	通关第168关	1	168	0	15
190	191	通关第169关	1	169	0	15
191	192	通关第170关	1	170	0	15
192	193	通关第171关	1	171	0	15
193	194	通关第172关	1	172	0	15
194	195	通关第173关	1	173	0	15
195	196	通关第174关	1	174	0	15
196	197	通关第175关	1	175	0	15
197	198	升级属性1次	2	1	0	15
198	199	通关第176关	1	176	0	15
199	200	通关第177关	1	177	0	15
200	201	通关第178关	1	178	0	15
201	202	通关第179关	1	179	0	15
202	203	通关第180关	1	180	0	15
203	204	通关第181关	1	181	0	15
204	205	通关第182关	1	182	0	15
205	206	通关第183关	1	183	0	15
206	207	通关第184关	1	184	0	15
207	208	通关第185关	1	185	0	15
208	209	升级属性1次	2	1	0	15
209	210	通关第186关	1	186	0	15
